"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"mesata"	"mesoleuca"	"texana"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-109.79	32.02	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.02	31.7	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-106.57	32.37	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.21	32.26	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.23	31.44	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.81	33.72	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.84	33.76	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.89	31.73	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.27	31.46	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.8	33.75	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.85	31.77	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.78	32.35	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.35	31.96	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.08	31.42	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.25	31.42	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.81	33.68	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-108.27	32.83	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.15	31.91	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.17	31.93	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.12	31.9	"unknown"	0	0	1	0	1	"mesoleuca"
