"name"	"longitude"	"latitude"	"subspecies"	"adusta"	"kenaiensis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-122.59	38.23	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.09	37.33	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.07	37.43	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.26	37.52	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.2	38.06	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.2	38.07	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.44	38.27	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.33	37.91	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.41	37.27	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.37	37.38	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.79	36.82	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.52	37.93	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.85	37.45	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.38	37.38	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.38	37.46	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.03	36.97	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-120.04	38.88	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.31	37.47	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.95	37.75	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.25	37.52	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.48	37.58	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.5	37.61	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.53	38.1	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.58	37.9	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.09	37.44	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.79	37.19	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.58	37.86	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.37	37.81	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.83	38.11	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.98	38.27	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.16	37.94	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.09	36.96	"unknown"	0	1	1	"kenaiensis"
