"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"maculatum"	"oberholseri"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre maculatum"	-109.25	26.35	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.93	27.12	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.05	27.3	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.7	26.97	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.58	26.95	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.29	25.97	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.62	27.02	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-110.9	27.92	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.92	27.09	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.69	26.9	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.63	27.15	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.79	27.02	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.62	28.62	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.77	27.98	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.97	27.02	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.85	27.59	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.52	27.21	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.94	27.5	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-97.9	27.52	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.95	27.53	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-99.12	28.36	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-97.86	27.47	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.33	26.18	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-100.56	25.39	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-97.75	26.19	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-97.68	27.29	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-97.56	26.27	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-97.6	26.08	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.38	26.22	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-97.94	26.13	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.37	26.18	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-100.64	25.01	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.61	26.87	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-100.6	26.54	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.14	26.29	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-97.62	26.17	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-97.47	26.02	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-99.31	27.14	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.14	26.08	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-100.11	25.9	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.36	26.21	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-97.66	26.19	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.19	26.51	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-99.64	24.97	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-100.47	25.96	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-100.62	25.37	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.13	26.29	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.17	26.29	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-99.41	28.31	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-97.96	26.14	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-97.45	25.92	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-100.51	26.52	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-100.18	24.89	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.28	28.45	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-99.14	26.58	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-98.23	26.18	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-100.45	25.19	"unknown"	0	0	1	1	"oberholseri"
"Toxostoma curvirostre (Swainson, 1827)"	-100.29	25.97	"unknown"	0	0	1	1	"oberholseri"
