"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"curvirostre"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre"	-109.1	31.9	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.27	31.46	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-107.98	32.59	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.28	31.55	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.28	32.81	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.24	31.44	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.29	31.53	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.28	31.31	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.03	31.84	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-107.95	30.37	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.25	31.42	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.07	31.72	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.06	31.72	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-107.98	32.5	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.29	32.76	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.21	31.56	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.21	31.89	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.15	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.09	31.93	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.18	31.85	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.3	31.47	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.26	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.07	31.71	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.3	31.57	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.82	32.23	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.03	31.83	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.98	32.09	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.08	32.05	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.2	31.86	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.12	31.9	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.59	30.72	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-105.75	31.19	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.26	31.47	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.22	31.94	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.31	31.45	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.16	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-107.96	32.84	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.87	32.26	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.7	32.83	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.06	31.88	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.83	32.25	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.21	31.46	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.24	31.4	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.85	32.14	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.13	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.58	32.29	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.53	31.9	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.72	31.56	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.24	31.41	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.31	31.59	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.28	31.97	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.29	31.97	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.14	31.54	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-108.3	32.72	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.28	31.41	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.29	31.46	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.05	31.84	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.05	32.08	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.92	31.4	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.17	31.87	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.17	31.99	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110	31.43	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.11	31.44	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.22	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.12	31.92	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.83	32.23	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.05	31.46	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-110.11	31.43	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre"	-109.14	31.92	"unknown"	1	0	1	"celsum"
