"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"cleonensis"	"numSubsppGroups"	"assigned"
"Melospiza melodia cleonensis"	-124.15	41.1	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-123.89	40.78	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.13	41.16	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.19	40.78	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.21	41.76	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-123.5	42.19	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.16	40.6	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.22	40.64	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-123.63	40.94	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.19	40.82	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.04	40.54	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.02	41.36	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.15	40.6	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.16	40.8	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.42	42.41	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.39	42.28	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-123.17	42.44	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.28	42.05	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.43	42.32	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.07	42	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.38	42.31	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.06	41.29	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.07	40.53	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.2	41.75	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.15	40.78	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.22	40.63	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.17	40.8	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-122.58	42.67	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.16	40.7	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.38	42.56	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-123.97	41.83	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.27	40.68	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.17	42.05	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia fisherella"	-122.38	41.41	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.05	41.55	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia fisherella"	-122.41	41.6	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia fisherella"	-122.63	41.73	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia fisherella"	-123.38	41.79	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.06	40.54	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.16	40.79	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.19	40.79	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.06	40.84	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia fisherella"	-122.3	40.77	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.25	41.76	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.11	41.84	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.05	40.85	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.23	40.64	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.33	43.34	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.08	40.87	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-122.71	42.19	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia fisherella"	-122.27	41.16	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-122.53	41.73	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia morphna"	-124.52	43.17	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.13	40.96	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis"	-124.15	40.79	"unknown"	0	0	1	1	"cleonensis"
