"name"	"longitude"	"latitude"	"subspecies"	"medius"	"arizonae"	"numSubsppGroups"	"assigned"
"Vireo bellii"	-88.26	41.98	"unknown"	0	0	0	"none"
"Vireo bellii"	-91.72	38.96	"unknown"	0	0	0	"none"
"Vireo bellii"	-88.33	42.19	"unknown"	0	0	0	"none"
"Vireo bellii"	-81.19	28.71	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.85	35.14	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.51	37.49	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.99	40.88	"unknown"	0	0	0	"none"
"Vireo bellii"	-90.18	38.81	"unknown"	0	0	0	"none"
"Vireo bellii"	-105.01	40.86	"unknown"	0	0	0	"none"
"Vireo bellii"	-83.76	41.69	"unknown"	0	0	0	"none"
"Vireo bellii"	-103.8	34.43	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.86	41.58	"unknown"	0	0	0	"none"
"Vireo bellii"	-86.58	36.9	"unknown"	0	0	0	"none"
"Vireo bellii"	-90.51	38.7	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.97	42.04	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.19	42.01	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.87	42.95	"unknown"	0	0	0	"none"
"Vireo bellii"	-91.29	43.97	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.17	44.31	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.54	41.75	"unknown"	0	0	0	"none"
"Vireo bellii"	-82.52	41.94	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.92	41.17	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.38	41.56	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.39	44.44	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.17	38.95	"unknown"	0	0	0	"none"
"Vireo bellii"	-82.51	41.93	"unknown"	0	0	0	"none"
"Vireo bellii"	-81.95	40.73	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.84	41.46	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.01	35.36	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.34	38.93	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.56	36.11	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.28	36.33	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.14	36.43	"unknown"	0	0	0	"none"
"Vireo bellii"	-82.52	41.95	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.63	41.96	"unknown"	0	0	0	"none"
"Vireo bellii"	-83.67	41.19	"unknown"	0	0	0	"none"
"Vireo bellii"	-105.45	40.68	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.57	36.15	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.1	45.06	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.53	36.2	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.85	40.69	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.18	44.46	"unknown"	0	0	0	"none"
"Vireo bellii"	-84.32	30.52	"unknown"	0	0	0	"none"
"Vireo bellii"	-80.05	26.64	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.72	19.22	"unknown"	0	0	0	"none"
"Vireo bellii"	-91.4	14.06	"unknown"	0	0	0	"none"
