"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-106.03	33.06	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.03	30.32	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.91	30.6	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.63	32.32	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.86	33.98	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.76	30.51	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.75	33.87	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.25	32.42	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.81	30.3	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.26	32.2	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.94	32.89	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.9	30.59	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.74	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.09	32.84	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.57	31.99	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.61	32.39	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.81	33.42	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.95	32.83	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.92	32.5	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.57	32.42	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.79	32.44	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.73	32.37	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.81	32.45	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.91	30.81	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.02	30.3	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.91	32.26	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.85	31.91	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.92	32.27	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.63	30.38	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.78	32.24	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.8	30.86	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.34	33.34	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.84	31.03	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.76	31.98	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.73	32.29	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.03	30.54	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.75	32.33	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.19	30.23	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.69	30.35	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.73	32.39	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.74	32.34	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.41	32.19	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.84	31.05	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-107.19	33.15	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-103.94	30.6	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-104.75	31.04	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.83	32.24	"unknown"	0	0	0	"none"
"Cardinalis sinuatus"	-106.66	35.06	"unknown"	0	0	0	"none"
