"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"cardinalis"	"seftoni"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.18	40.31	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.19	38.79	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.57	41.61	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.11	38.9	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.22	42.38	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.16	39.79	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.65	39.38	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.59	38.91	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.96	40.67	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.56	41.59	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74.53	39.49	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.52	41.47	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.58	41.31	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.88	40.98	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.42	41.26	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.3	39.92	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.15	39.01	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.06	40.52	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.33	38.8	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-84.53	42.7	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74.64	40.35	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.58	41.79	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-83.72	42.28	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.18	40.34	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.46	38.84	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.08	39.91	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.09	38.75	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.68	39.66	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-86.17	39.98	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.76	39.25	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74.45	39.47	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.77	39.76	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.7	39.05	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.96	39.77	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74.73	40.19	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.93	41.83	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.35	40.09	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-86.14	42.8	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.37	39.71	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.53	38.79	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.55	39.8	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.08	38.89	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.53	38.98	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74.06	41.17	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.08	38.72	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.39	42.85	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.35	38.95	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.21	39.05	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.64	41.95	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-82.64	41.42	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.36	40.1	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.08	39.22	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.19	39.02	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.1	39.04	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.14	39.13	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.06	39.14	"unknown"	0	1	0	1	"cardinalis"
