"Longitude" "Latitude" "wc2.1_10m_bio_1" "wc2.1_10m_bio_2" "wc2.1_10m_bio_3" "wc2.1_10m_bio_4" "wc2.1_10m_bio_5" "wc2.1_10m_bio_6" "wc2.1_10m_bio_7" "wc2.1_10m_bio_8" "wc2.1_10m_bio_9" "wc2.1_10m_bio_10" "wc2.1_10m_bio_11" "wc2.1_10m_bio_12" "wc2.1_10m_bio_13" "wc2.1_10m_bio_14" "wc2.1_10m_bio_15" "wc2.1_10m_bio_16" "wc2.1_10m_bio_17" "wc2.1_10m_bio_18" "wc2.1_10m_bio_19" "occ"
"2:55" -93.73 16.69 24.2180633544922 12.61549949646 66.6252899169922 176.991302490234 33.7672500610352 14.8322496414185 18.935001373291 25.2047080993652 24.0742492675781 26.1712493896484 21.8221664428711 1026 191 18 82.8749313354492 535 59 272 74 1
"2:56" -86.84 15.42 25.0535736083984 10.3744373321533 67.7691345214844 161.808486938477 32.7517509460449 17.4432506561279 15.308500289917 25.6526260375977 25.0530834197998 26.789249420166 22.8672504425049 1199 169 33 45.3356437683105 452 127 278 199 1
"2:57" -101.22 19.43 16.6324062347412 15.1695213317871 65.0968551635742 200.419860839844 28.0900001525879 4.78700017929077 23.30299949646 17.5157089233398 16.5572910308838 18.9728755950928 13.9509582519531 1046 229 7 102.461143493652 632 31 256 45 1
"2:58" -99.3 19.73 15.1746664047241 16.6540832519531 69.4622039794922 191.365020751953 26.2609996795654 2.28524994850159 23.9757499694824 16.6439170837402 12.5569162368774 17.2240409851074 12.5569162368774 697 143 8 89.8834991455078 391 28 204 28 1
"2:59" -100.69 20.17 17.5621871948242 16.4449577331543 65.1995544433594 239.169021606445 29.8387508392334 4.61625003814697 25.2224998474121 19.4449996948242 17.2724990844727 20.2866668701172 14.3748331069946 684 168 6 108.793464660645 441 21 163 26 1
"2:60" -102.86 20.95 18.8310203552246 17.0589160919189 62.6791572570801 270.136535644531 32.1002502441406 4.88399982452393 27.216251373291 21.0989589691162 18.2121257781982 21.7985420227051 15.2427921295166 835 231 2 119.422233581543 580 13 413 30 1
"2:61" -89.41 20.81 25.7523860931396 13.7794370651245 67.0426177978516 204.191452026367 36.0834999084473 15.5302505493164 20.5532493591309 27.0588340759277 23.8087501525879 27.8789577484131 22.953332901001 1016 175 23 71.8863754272461 499 79 253 90 1
"2:62" -99.23 19.17 12.4169273376465 13.9339790344238 71.2107162475586 152.546203613281 21.7325000762939 2.1652500629425 19.5672492980957 13.5515422821045 10.2922496795654 14.0395832061768 10.2922496795654 1100 222 11 94.6114654541016 634 40 312 40 1
"2:63" -102.63 20.56 18.965124130249 17.5146255493164 62.6618881225586 272.747528076172 32.5722503662109 4.62125015258789 27.951000213623 21.1827507019043 18.4676246643066 22.0210838317871 15.3330001831055 835 229 2 119.165260314941 582 12 194 27 1
"2:64" -96.63 16.8 20.5133438110352 15.0728540420532 73.2554321289062 117.63158416748 30.4615001678467 9.88574981689453 20.5757503509521 21.0254173278809 19.0676670074463 21.8975830078125 19.00608253479 648 152 2 93.3683853149414 344 11 266 18 1
"2:65" -103.6 22.17 16.3045616149902 17.4639587402344 63.6424217224121 306.444000244141 29.5699996948242 2.12925004959106 27.4407501220703 19.3365421295166 14.9440412521362 19.6825408935547 12.2252502441406 721 187 4 110.31517791748 473 22 318 58 1
"2:66" -104.34 21.67 19.9485836029053 16.1664161682129 65.4245910644531 260.358581542969 31.8207492828369 7.11075019836426 24.7099990844727 22.1599998474121 18.4809989929199 22.6005840301514 16.4457092285156 1017 261 3 115.626983642578 693 18 433 69 1
"2:67" -97.42 17.55 14.9867086410522 14.7789163589478 70.2486724853516 146.098251342773 25.3807506561279 4.34275007247925 21.0380001068115 15.669041633606 13.1708745956421 16.7525005340576 13.061541557312 646 139 5 91.7731781005859 347 17 242 24 1
"2:68" -88.16 21.6 25.7270927429199 11.6745100021362 71.0450286865234 177.390914916992 33.4431381225586 17.0105876922607 16.4325504302979 26.9314384460449 24.9003276824951 27.4687595367432 23.2511768341064 789 131 20 53.7473640441895 323 79 281 124 1
"2:69" -103.58 21.77 16.7628116607666 16.5712089538574 63.3667945861816 274.103607177734 29.7552490234375 3.60400009155273 26.1512489318848 19.2458744049072 15.7851667404175 19.7573738098145 13.0817918777466 881 231 5 113.75072479248 589 25 406 52 1
"2:70" -96.56 17 19.7173328399658 14.8023748397827 70.8646011352539 135.371719360352 29.9225006103516 9.03425025939941 20.8882503509521 20.3217506408691 18.1003742218018 21.3612499237061 17.9854164123535 651 146 2 91.3171463012695 339 12 259 22 1
"2:71" -98.52 20.28 15.9631872177124 14.9522085189819 65.7977447509766 203.825485229492 27.0832500457764 4.3587498664856 22.7245006561279 16.8403739929199 13.3402919769287 18.3649578094482 13.3402919769287 804 170 10 84.7530288696289 428 37 222 37 1
"2:72" -101.13 20.18 18.2936248779297 16.009708404541 64.5949935913086 244.905502319336 30.3274993896484 5.54274988174438 24.7847499847412 20.2562503814697 17.9351253509521 21.0570411682129 15.0258750915527 694 159 6 106.107269287109 441 23 169 29 1
"2:73" -102.99 18.66 20.9881553649902 13.2854375839233 69.9408340454102 142.247543334961 30.0477504730225 11.0524997711182 18.9952507019043 21.9470825195312 20.2923336029053 22.5337505340576 19.0260410308838 1107 231 4 106.420593261719 680 15 464 38 1
"2:74" -98.82 19.75 14.8090524673462 17.2966461181641 70.882080078125 183.234451293945 26.2427501678467 1.84074997901917 24.4020004272461 16.1039161682129 12.3133335113525 16.8210010528564 12.3133335113525 491 94 5 81.6883010864258 263 20 169 20 1
"2:75" -102.6 21.48 18.3053436279297 19.7316036224365 64.633918762207 311.337554931641 32.5327491760254 2.00449991226196 30.5282497406006 21.3230838775635 17.2003746032715 21.747875213623 14.1586666107178 663 180 2 115.872451782227 448 14 305 33 1
"2:76" -98.5 19.4 13.9555311203003 16.5184383392334 69.8129272460938 180.223205566406 25.1277503967285 1.46675002574921 23.6610012054443 14.7845420837402 11.5152502059937 15.9964580535889 11.5152502059937 888 164 9 88.9625930786133 482 28 264 28 1
"2:77" -99.13 20.02 15.3552913665771 16.3177509307861 68.1731338500977 197.228576660156 26.7237491607666 2.78800010681152 23.9357490539551 16.7606658935547 12.706916809082 17.5794162750244 12.706916809082 510 92 6 75.6972351074219 251 27 164 27 1
"2:78" -96.95 17.8 22.1006355285645 14.1531047821045 64.1464157104492 222.226013183594 33.2005004882812 11.1367502212524 22.0637512207031 22.7456665039062 20.5283336639404 24.855583190918 19.2716674804688 950 185 12 90.28076171875 522 40 254 46 1
"2:79" -99.08 19.08 12.8899269104004 13.6546878814697 70.5194778442383 145.962020874023 22.3282508850098 2.96525001525879 19.363000869751 13.5782918930054 10.8751668930054 14.5178756713867 10.8751668930054 1167 237 9 96.6722640991211 675 37 333 37 1
"2:80" -101.84 20.47 18.7328853607178 16.8917293548584 62.662914276123 268.528106689453 31.8777503967285 4.9212498664856 26.9565010070801 20.9250831604004 18.3007907867432 21.8503341674805 15.2212085723877 715 193 4 115.095420837402 479 17 164 24 1
"2:81" -99.38 17.56 22.7963752746582 13.9192914962769 71.0975036621094 140.570449829102 32.7997512817383 13.2220001220703 19.577751159668 23.0236663818359 21.9059581756592 24.5874996185303 21.0587501525879 902 201 2 105.907684326172 566 15 223 18 1
"2:82" -89.32 21.13 25.7924060821533 13.0742702484131 67.1060485839844 201.628158569336 35.4249992370605 15.9420003890991 19.4829978942871 27.1636257171631 25.3365840911865 27.8542499542236 23.003833770752 895 160 20 67.4467849731445 417 74 319 103 1
"2:83" -95.17 16.83 23.8022804260254 11.5626039505005 71.8989105224609 122.069259643555 31.8287506103516 15.7469997406006 16.081750869751 24.4454574584961 23.6341247558594 25.1710834503174 22.1645011901855 905 195 11 88.3351898193359 507 48 199 64 1
"2:84" -101.84 21.76 16.732177734375 17.0337715148926 63.9561882019043 283.369842529297 29.63450050354 3.00099992752075 26.6335010528564 19.336124420166 15.902042388916 19.8616676330566 12.9317083358765 528 119 6 97.8924942016602 321 28 227 40 1
"2:85" -97.68 18.02 20.2715110778809 14.3909378051758 68.1389083862305 176.273468017578 31.224250793457 10.1042499542236 21.1200008392334 20.9587078094482 18.1450424194336 22.5153751373291 18.1166248321533 530 127 5 95.6434860229492 289 15 199 19 1
"2:86" -99.2 19.41 15.3362398147583 15.0590209960938 70.0680313110352 169.089309692383 25.4640007019043 3.97200012207031 21.492000579834 16.4955005645752 13.0174579620361 17.2011661529541 13.0174579620361 880 186 9 96.6404800415039 519 30 253 30 1
"2:87" -103.08 19.71 20.0498237609863 14.9782295227051 64.5363006591797 215.720840454102 31.1917495727539 7.98274993896484 23.2089996337891 21.8702507019043 19.3763332366943 22.2944164276123 17.0299587249756 900 204 5 104.140243530273 558 17 414 46 1
"2:88" -103.02 19.99 17.5437602996826 14.6684789657593 63.216667175293 231.666107177734 28.9160003662109 5.71250009536743 23.2035007476807 19.5281677246094 16.9129581451416 20.0108757019043 14.3532915115356 905 208 7 102.196136474609 551 24 412 47 1
"2:89" -101.27 21.04 15.3137083053589 13.9918327331543 62.3834762573242 247.045974731445 26.2859992980957 3.85724997520447 22.4287490844727 17.3335418701172 15.0259170532227 18.0438747406006 12.0166664123535 725 172 9 97.1973571777344 432 35 178 44 1
"2:90" -97.37 17.96 16.9668025970459 15.5092706680298 68.3785095214844 177.739028930664 28.3514995574951 5.67000007629395 22.6814994812012 17.7885417938232 14.7779588699341 19.1532497406006 14.7013750076294 535 124 5 91.4691467285156 276 17 212 23 1
