"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"flaviceps"	"hidalgensis"	"lamprocephalus"	"ornatus"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps"	-116.56	34.04	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.48	33.96	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.55	33.8	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.6	33.93	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.32	33.65	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.41	33.26	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.15	34.03	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.55	33.81	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.39	33.69	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.42	33.27	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-116.37	33.7	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps"	-115.56	32.97	"unknown"	1	0	0	0	0	1	"acaciarum"
