"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.210253	34.201203	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.916471	32.772832	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.916546	32.772764	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.597779	26.539646	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.018522	37.41907	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.000575	34.198445	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-101.947151	33.543041	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.272767	33.013458	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.360751	36.438958	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.446768	37.471712	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.578298	34.104518	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.581613	34.105601	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.582942	34.104503	"unknown"	0	0	"none"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-121.788482	39.752711	"unknown"	0	0	"none"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-121.785778	39.752769	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.057942	34.084418	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.060981	36.983367	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.565821	34.049691	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.232489	37.731495	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.3275	37.909161	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.43362	28.292848	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.434375	28.291733	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.435399	28.28982	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.767012	34.00835	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.333843	34.155578	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.360205	34.162612	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.34015	33.728062	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.493721	37.731903	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.350607	38.553402	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-104.839744	39.619969	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.349638	33.72882	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-93.995017	38.710591	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.343055	33.731628	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-94.033088	38.761197	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.9542	33.037872	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.501062	32.613157	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.372642	34.013942	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.517481	38.672982	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.280814	32.830898	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-84.495033	34.114773	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.664415	33.25209	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.044156	34.049188	"unknown"	0	0	"none"
